ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,REGION,AREA,CITY,COUNTRY,POSTAL_CODE,CUSTOMER_NUMBER,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY,CONTRIBUTION_MARGIN,CONTRIBUTION_MARGIN_PCT
.1~1760,1760,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,500,1,02,Lower Saxony,North,OLDENBURG,Germany,26129,80144,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,344,344,ST,5.26,1809.44,780.88,EUR,1028.56000,0.57
.1~1759,1759,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,497,2,02,Baden-Wurttemberg,South,GUNDELFINGEN,Germany,79194,80114,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,415,415,ST,5.26,2182.90,942.05,EUR,1240.85000,0.57
.1~1758,1758,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,503,1,02,Rhineland Palatinate,West,TRIER,Germany,54290,80164,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,395,395,ST,5.26,2077.70,896.65,EUR,1181.05000,0.57
.1~1757,1757,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,501,2,02,Nrth Rhine Westfalia,West,ESSEN,Germany,45127,80153,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,427,427,ST,5.26,2246.02,969.29,EUR,1276.73000,0.57
.1~1756,1756,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,502,2,02,Nrth Rhine Westfalia,West,DÜSSELDORF,Germany,40212,80151,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,452,452,ST,5.26,2377.52,1026.04,EUR,1351.48000,0.57
.1~1755,1755,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,498,1,02,Saxony,North,CHEMNITZ,Germany,09111,80165,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,368,368,ST,5.26,1935.68,835.36,EUR,1100.32000,0.57
.1~1754,1754,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,499,1,02,Lower Saxony,North,OLDENBURG,Germany,26121,80145,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,383,383,ST,5.26,2014.58,869.41,EUR,1145.17000,0.57
.1~1737,1737,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,491,2,02,Saxony-Anhalt,North,GÜNTHERSDORF,Germany,06254,80167,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,440,440,ST,5.26,2314.40,998.80,EUR,1315.60000,0.57
.1~1736,1736,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,491,1,02,Saxony-Anhalt,North,GÜNTHERSDORF,Germany,06254,80167,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,344,344,ST,5.26,1809.44,780.88,EUR,1028.56000,0.57
.1~1735,1735,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,493,9,02,Nrth Rhine Westfalia,West,MÜNSTER,Germany,48159,80158,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,385,385,ST,5.26,2025.10,873.95,EUR,1151.15000,0.57
.1~1734,1734,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,493,2,02,Nrth Rhine Westfalia,West,MÜNSTER,Germany,48159,80158,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,386,386,ST,5.26,2030.36,876.22,EUR,1154.14000,0.57
.1~1733,1733,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,493,1,02,Nrth Rhine Westfalia,West,MÜNSTER,Germany,48159,80158,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,392,392,ST,5.26,2061.92,889.84,EUR,1172.08000,0.57
.1~1732,1732,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,494,1,02,Rhineland Palatinate,West,BAD KREUZNACH,Germany,55543,80163,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,442,442,ST,5.26,2324.92,1003.34,EUR,1321.58000,0.57
.1~1731,1731,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,488,0,02,Bavaria,South,MÜNCHEN,Germany,81245,80123,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,342,342,ST,5.26,1798.92,776.34,EUR,1022.58000,0.57
.1~1730,1730,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,488,9,02,Bavaria,South,MÜNCHEN,Germany,81245,80123,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,389,389,ST,5.26,2046.14,883.03,EUR,1163.11000,0.57
.1~1729,1729,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,488,4,02,Bavaria,South,MÜNCHEN,Germany,81245,80123,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,347,347,ST,5.26,1825.22,787.69,EUR,1037.53000,0.57
.1~1728,1728,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,488,3,02,Bavaria,South,MÜNCHEN,Germany,81245,80123,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,403,403,ST,5.26,2119.78,914.81,EUR,1204.97000,0.57
.1~1727,1727,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,491,3,02,Saxony-Anhalt,North,GÜNTHERSDORF,Germany,06254,80167,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,394,394,ST,5.26,2072.44,894.38,EUR,1178.06000,0.57
.1~1726,1726,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,491,4,02,Saxony-Anhalt,North,GÜNTHERSDORF,Germany,06254,80167,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,349,349,ST,5.26,1835.74,792.23,EUR,1043.51000,0.57
.1~1725,1725,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,489,3,02,Bavaria,South,INGOLSTADT,Germany,85055,80120,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,451,451,ST,5.26,2372.26,1023.77,EUR,1348.49000,0.57
.1~1724,1724,ZZ,03,13,03/13,/Date(1708560000000)/,11,53,490,2,02,Lower Saxony,North,GÖTTINGEN,Germany,37073,80142,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,382,382,ST,5.26,2009.32,867.14,EUR,1142.18000,0.57
.1~1709,1709,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,484,1,02,Schleswig-Holstein,North,KIEL,Germany,24113,80168,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,371,371,ST,5.26,1951.46,842.17,EUR,1109.29000,0.57
.1~1708,1708,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,484,2,02,Schleswig-Holstein,North,KIEL,Germany,24113,80168,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,354,354,ST,5.26,1862.04,803.58,EUR,1058.46000,0.57
.1~1707,1707,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,485,2,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,426,426,ST,5.26,2240.76,967.02,EUR,1273.74000,0.57
.1~1706,1706,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,486,4,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,396,396,ST,5.26,2082.96,898.92,EUR,1184.04000,0.57
.1~1705,1705,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,486,3,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,439,439,ST,5.26,2309.14,996.53,EUR,1312.61000,0.57
.1~1704,1704,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,486,2,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,364,364,ST,5.26,1914.64,826.28,EUR,1088.36000,0.57
.1~1703,1703,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,487,4,02,Nrth Rhine Westfalia,West,DORTMUND,Germany,44339,80150,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,435,435,ST,5.26,2288.10,987.45,EUR,1300.65000,0.57
.1~1702,1702,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,479,1,02,Baden-Wurttemberg,South,ESSLINGEN,Germany,73730,80112,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,386,386,ST,5.26,2030.36,876.22,EUR,1154.14000,0.57
.1~1701,1701,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,480,1,02,Hessen,South,FULDA,Germany,36037,80137,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,446,446,ST,5.26,2345.96,1012.42,EUR,1333.54000,0.57
.1~1700,1700,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,481,1,02,Baden-Wurttemberg,South,STUTTGART,Germany,70173,80118,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,449,449,ST,5.26,2361.74,1019.23,EUR,1342.51000,0.57
.1~1699,1699,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,483,4,02,Bremen,North,BREMEN,Germany,28259,80133,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,361,361,ST,5.26,1898.86,819.47,EUR,1079.39000,0.57
.1~1698,1698,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,481,2,02,Baden-Wurttemberg,South,STUTTGART,Germany,70173,80118,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,348,348,ST,5.26,1830.48,789.96,EUR,1040.52000,0.57
.1~1697,1697,ZZ,03,12,03/12,/Date(1708473600000)/,11,52,481,3,02,Baden-Wurttemberg,South,STUTTGART,Germany,70173,80118,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,358,358,ST,5.26,1883.08,812.66,EUR,1070.42000,0.57
.1~1677,1677,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,470,2,02,Bavaria,South,NÜRNBERG-BUCH,Germany,90427,80126,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,350,350,ST,5.26,1841.00,794.50,EUR,1046.50000,0.57
.1~1676,1676,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,470,1,02,Bavaria,South,NÜRNBERG-BUCH,Germany,90427,80126,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,437,437,ST,5.26,2298.62,991.99,EUR,1306.63000,0.57
.1~1675,1675,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,478,1,02,Nrth Rhine Westfalia,West,SIEGEN,Germany,57076,80160,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,390,390,ST,5.26,2051.40,885.30,EUR,1166.10000,0.57
.1~1674,1674,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,478,2,02,Nrth Rhine Westfalia,West,SIEGEN,Germany,57076,80160,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,424,424,ST,5.26,2230.24,962.48,EUR,1267.76000,0.57
.1~1673,1673,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,478,3,02,Nrth Rhine Westfalia,West,SIEGEN,Germany,57076,80160,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,357,357,ST,5.26,1877.82,810.39,EUR,1067.43000,0.57
.1~1672,1672,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,478,4,02,Nrth Rhine Westfalia,West,SIEGEN,Germany,57076,80160,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,455,455,ST,5.26,2393.30,1032.85,EUR,1360.45000,0.57
.1~1671,1671,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,477,3,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,372,372,ST,5.26,1956.72,844.44,EUR,1112.28000,0.57
.1~1670,1670,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,477,1,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,415,415,ST,5.26,2182.90,942.05,EUR,1240.85000,0.57
.1~1669,1669,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,476,3,02,Nrth Rhine Westfalia,West,HÜCKELHOVEN,Germany,41836,80156,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,392,392,ST,5.26,2061.92,889.84,EUR,1172.08000,0.57
.1~1668,1668,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,476,1,02,Nrth Rhine Westfalia,West,HÜCKELHOVEN,Germany,41836,80156,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,427,427,ST,5.26,2246.02,969.29,EUR,1276.73000,0.57
.1~1667,1667,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,475,1,02,Lower Saxony,North,UELZEN,Germany,29525,80146,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,429,429,ST,5.26,2256.54,973.83,EUR,1282.71000,0.57
.1~1666,1666,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,475,2,02,Lower Saxony,North,UELZEN,Germany,29525,80146,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,438,438,ST,5.26,2303.88,994.26,EUR,1309.62000,0.57
.1~1665,1665,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,475,4,02,Lower Saxony,North,UELZEN,Germany,29525,80146,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,367,367,ST,5.26,1930.42,833.09,EUR,1097.33000,0.57
.1~1664,1664,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,470,4,02,Bavaria,South,NÜRNBERG-BUCH,Germany,90427,80126,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,345,345,ST,5.26,1814.70,783.15,EUR,1031.55000,0.57
.1~1663,1663,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,471,1,02,Baden-Wurttemberg,South,ALBSTADT,Germany,72458,80170,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,369,369,ST,5.26,1940.94,837.63,EUR,1103.31000,0.57
.1~1662,1662,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,472,3,02,Bavaria,South,MÜNCHEN,Germany,80939,80124,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,440,440,ST,5.26,2314.40,998.80,EUR,1315.60000,0.57
.1~1661,1661,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,473,3,02,Schleswig-Holstein,North,NEUMÜNSTER,Germany,24537,80169,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,447,447,ST,5.26,2351.22,1014.69,EUR,1336.53000,0.57
.1~1660,1660,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,473,1,02,Schleswig-Holstein,North,NEUMÜNSTER,Germany,24537,80169,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,455,455,ST,5.26,2393.30,1032.85,EUR,1360.45000,0.57
.1~1659,1659,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,474,1,02,Brandenburg,North,COTTBUS,Germany,03046,80132,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,443,443,ST,5.26,2330.18,1005.61,EUR,1324.57000,0.57
.1~1658,1658,ZZ,03,11,03/11,/Date(1708387200000)/,11,51,474,2,02,Brandenburg,North,COTTBUS,Germany,03046,80132,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,395,395,ST,5.26,2077.70,896.65,EUR,1181.05000,0.57
.1~1429,1429,ZZ,01,18,01/18,/Date(1705536000000)/,4,18,344,1,02,Bavaria,South,NÜRNBERG,Germany,90451,80125,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,453,453,ST,5.26,2382.78,1028.31,EUR,1354.47000,0.57
.1~1428,1428,ZZ,01,18,01/18,/Date(1705536000000)/,4,18,345,3,02,Hessen,South,FULDA,Germany,36037,80137,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,260,260,ST,5.26,1367.60,590.20,EUR,777.40000,0.57
.1~1401,1401,ZZ,01,17,01/17,/Date(1705449600000)/,4,17,334,3,02,Bavaria,South,NÜRNBERG,Germany,90451,80125,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,441,441,ST,5.26,2319.66,1001.07,EUR,1318.59000,0.57
